Cosmos Address,Chronic Address,ATOM,OSMO,
cosmos15rhnhavt7q7c7es4fr284lvq6rnkg0njd9m9ms,chronic15rhnhavt7q7c7es4fr284lvq6rnkg0njsgu936,2.4624,0.5357,0.07%
cosmos1juaejwvhvmgnnsf6857kxykwz0rampexhfuads,chronic1juaejwvhvmgnnsf6857kxykwz0rampex2yma86,7.5787,1.6486,0.20%
cosmos1juaejwvhvmgnnsf6857kxykwz0rampexhfuads,chronic1juaejwvhvmgnnsf6857kxykwz0rampex2yma86,6.5185,1.4180,0.17%
cosmos17praexlxzyxsw4vp7ertwmunwa4rfa9vt5yutk,chronic17praexlxzyxsw4vp7ertwmunwa4rfa9vkerupu,1.8673,0.4062,0.05%
chronic1dttmz6hs86eahjvsyaynmv0ac850pmy778jv6j,chronic1dttmz6hs86eahjvsyaynmv0ac850pmy778jv6j,8.2285,1.7900,0.22%
cosmos1tz3r66u9chp8ha2sysfhrvf4rgx7wrqlhfsz9h,chronic1tz3r66u9chp8ha2sysfhrvf4rgx7wrql2yhz0a,26.6076,5.7881,0.71%
cosmos12vj709mcrevdqznhk5va2679s0hfr8uq2q80vm,chronic12vj709mcrevdqznhk5va2679s0hfr8uqhdq0x3,9.1656,1.9938,0.25%
cosmos1z5zq4gk2wzeamhqp0m5wumaftxl48vendu7h26,chronic1z5zq4gk2wzeamhqp0m5wumaftxl48vens3ehqs,5.3147,1.1561,0.14%
cosmos1x0j6gvds5j479nm50530s5l0uvahas8fajp6fc,chronic1x0j6gvds5j479nm50530s5l0uvahas8fqlx6rj,8.1396,1.7706,0.22%
cosmos1xg6wkxqjw9dknkueeva7tn5q9ekcf9762ylp7m,chronic184zvsass4hf6q6qsv8vx3hzyehtpsd8dp4e6au,1.2996,0.2827,0.03%
cosmos1apc5upgffmdfd3jdd7mak4c8q40u8prxayxyja,chronic1apc5upgffmdfd3jdd7mak4c8q40u8prxqfpych,6.7716,1.4731,0.18%
cosmos1apc5upgffmdfd3jdd7mak4c8q40u8prxayxyja,chronic1apc5upgffmdfd3jdd7mak4c8q40u8prxqfpych,18.5159,4.0278,0.50%
cosmos1yfzzmydlc4gyhswq4edzh59vlwmdkyx07r4mcj,chronic1yfzzmydlc4gyhswq4edzh59vlwmdkyx0rwjmjc,5.8003,1.2618,0.16%
cosmos1yfzzmydlc4gyhswq4edzh59vlwmdkyx07r4mcj,chronic1yfzzmydlc4gyhswq4edzh59vlwmdkyx0rwjmjc,99.3852,21.6197,2.66%
cosmos1yfzzmydlc4gyhswq4edzh59vlwmdkyx07r4mcj,chronic1yfzzmydlc4gyhswq4edzh59vlwmdkyx0rwjmjc,32.4216,7.0528,0.87%
cosmos1na07txyfz07tf7ym7d8z2ulxrc3rwx2a636avh,chronic1na07txyfz07tf7ym7d8z2ulxrc3rwx2a8uaaxa,57.0456,12.4094,1.53%
cosmos1337k25z25sxhdvcxuzq0unxe9990y9rmg49vuy,chronic1337k25z25sxhdvcxuzq0unxe9990y9rm4czvkw,2.4556,0.5342,0.07%
cosmos1upyk302zc0xc0sttjylkn9y7dr44xf4kvppcua,chronic1upyk302zc0xc0sttjylkn9y7dr44xf4k3vxckh,1.7579,0.3824,0.05%
cosmos1xw6sc0gacjrw5ua6lt2dmkmrsdng29r724rm9h,chronic1xw6sc0gacjrw5ua6lt2dmkmrsdng29r7hcym0a,3.8236,0.8318,0.10%
cosmos1g5dryvfdmzm4363w2y0sq9jv6trp4nqt3mqfjn,chronic1g5dryvfdmzm4363w2y0sq9jv6trp4nqtvk8fce,18.3654,3.9951,0.49%
cosmos1g5dryvfdmzm4363w2y0sq9jv6trp4nqt3mqfjn,chronic1g5dryvfdmzm4363w2y0sq9jv6trp4nqtvk8fce,7.8797,1.7141,0.21%
cosmos1g5dryvfdmzm4363w2y0sq9jv6trp4nqt3mqfjn,chronic1g5dryvfdmzm4363w2y0sq9jv6trp4nqtvk8fce,6.8400,1.4879,0.18%
cosmos1g5dryvfdmzm4363w2y0sq9jv6trp4nqt3mqfjn,chronic1g5dryvfdmzm4363w2y0sq9jv6trp4nqtvk8fce,7.2436,1.5757,0.19%
cosmos1e422r9zarpk3udvjzxr7aqpc8z4ur0hhlkrdh7,chronic1e422r9zarpk3udvjzxr7aqpc8z4ur0hhzmyda5,1.6690,0.3631,0.04%
cosmos1e422r9zarpk3udvjzxr7aqpc8z4ur0hhlkrdh7,chronic1e422r9zarpk3udvjzxr7aqpc8z4ur0hhzmyda5,4.5281,0.9850,0.12%
cosmos1at9jcadqz8yj6z66ssft6g7hgljx62exx7kj2z,chronic1yqcwqu53j8gr2g4u7v7nzk7xqhge6ehkwxyh4j,4.7675,1.0371,0.13%
cosmos1flhzs0s9g0cn8lhd53n734w7c386csr09cdz90,chronic1hc3gyett6famtgskxzu99fr7vcmfk79w8a9uvr,25.7526,5.6021,0.69%
cosmos14nnxm5aynhd3suf0vz0ak83nkfd6d3pt208ur8,chronic14nnxm5aynhd3suf0vz0ak83nkfd6d3pthzqufd,3.4679,0.7544,0.09%
cosmos1y2mzu78ldpz56a0w0fkr0pe8gur7qzpjutdsxm,chronic1y2mzu78ldpz56a0w0fkr0pe8gur7qzpjpx2sv3,34.8840,7.5885,0.93%
cosmos1t5u0jfg3ljsjrh2m9e47d4ny2hea7eehxrzdgd,chronic199sa2th3r20k2vvu3h6fgk4t77eqzlgtcnhv8p,38.7349,8.4262,1.04%
cosmos1ajq0y2qzj5d7hrcu87y8g650ln9qjr6arung9l,chronic1ajq0y2qzj5d7hrcu87y8g650ln9qjr6a735g04,4.0766,0.8868,0.11%
cosmos1e5ug8h9patq6mz65p84g6h2yxkdzr0n9gg9vsw,chronic1lrv08aqutdq56g7d6fp5jsrx7f5ah69gwjzjn6,18.6527,4.0576,0.50%
cosmos1p6906xu66zet86hne5z3m6lrekc29gw8w09z102,chronic1er9ljmgl2e7agfn6mh5w5lktap3mxjheqa3vp7,7.5240,1.6367,0.20%
cosmos1lxg0shr539l5yg4z8gxzfu70mqdu077pzlx943,chronic1lxg0shr539l5yg4z8gxzfu70mqdu077pljp9lm,6.0397,1.3138,0.16%
cosmos168dn8zt9q04lav63cl5dh5vkhjdng83javmcj7,chronic168dn8zt9q04lav63cl5dh5vkhjdng83jqpucc5,6.8400,1.4879,0.18%
cosmos1mjdeth9dlhpwhswkxdtxrqp2llsg4cw6htss7m,chronic1mjdeth9dlhpwhswkxdtxrqp2llsg4cw62xhs53,3.0780,0.6696,0.08%
cosmos1f5fex95crrh9qvj7l22wdmy8maxf99sarcmx9c,chronic17ptm2cu3w29qnqvltrn4ruwzq9euur670h6d9u,3.6799,0.8005,0.10%
cosmos1v2chskwelx57khpddwgvjedal7rykvsua0xg3t,chronic1v2chskwelx57khpddwgvjedal7rykvsuqzpgmp,1.2586,0.2738,0.03%
n/a,cosmos190trxzngqkvjyf5k768qcqqqpqlmcyskkwqv5s,4.9727,1.0817,0.13%
cosmos1uusc20an0twn2nnawpl9ssay6axjvmvmck284q,chronic1z7dt5c0mm29zvla7yqdacatvrkue20364nhkm0,4.7401,1.0311,0.13%
cosmos1xhdu0c5jaa8cfltqp4n5766g8lc8azguamatmc,chronic1xhdu0c5jaa8cfltqp4n5766g8lc8azguqk6t3j,6.1560,1.3391,0.16%
cosmos10c4ekgnuu8e27hvcltzuyfcaazvp7wexp28duw,chronic10c4ekgnuu8e27hvcltzuyfcaazvp7wexu8qdky,3.6868,0.8020,0.10%
n/a,TBD,420.6600,91.5082,11.27%
cosmos1v60t2x4utq8n6dgnw9p4c9d392tf7xffwq8wfy,chronic1v60t2x4utq8n6dgnw9p4c9d392tf7xffndqwrw,5.5814,1.2142,0.15%
cosmos1pngnzu8wc2jymdaqfqwxkmu9f86axvpmjz5wwz,chronic1pngnzu8wc2jymdaqfqwxkmu9f86axvpm00nwyg,4.0903,0.8898,0.11%
cosmos1y4s2fc3c095xfmqpx9ts4pnydfml7evpvjzf3h,chronic1q8c84cpgcu0jzq2fj8d3e2566s2g9x5n29pu2s,3.7278,0.8109,0.10%
cosmos15khhsvvmkhkfe4qtrdrc76a7ldlcq2xg0j3vun,chronic1h9cursp2ft5fy0ddqrueqpx36l9h553p25wemp,0.2462,0.0536,0.01%
cosmos15khhsvvmkhkfe4qtrdrc76a7ldlcq2xg0j3vun,chronic1h9cursp2ft5fy0ddqrueqpx36l9h553p25wemp,0.5951,0.1295,0.02%
cosmos1pm2cnj3077q0xgfcve845k2m20mvadlswg7fnz,chronic1puzkv60dp6m5ydkcgyu7mcjv75jus6pmujk5gx,0.7729,0.1681,0.02%
cosmos1a0td8l6spf6km6c7me46a4gsgdy5yhvzck5en5,chronic1arrd795fj3ltqfjgehk7n8qygr796v3mjznqkn,6.2518,1.3600,0.17%
cosmos13y3ghctcyrg79cghpennrp5th9nmljw853rnpz,chronic1qzyn3tj799pzylf4uuagcpy3ts3h7xlfxzgknq,14.7128,3.2006,0.39%
cosmos13y3ghctcyrg79cghpennrp5th9nmljw853rnpz,chronic1qzyn3tj799pzylf4uuagcpy3ts3h7xlfxzgknq,13.9604,3.0369,0.37%
cosmos1uu832ww7p0sgtch5aqlxt6vhhznygcaq4f6mk7,chronic1uu832ww7p0sgtch5aqlxt6vhhznygcaqgyamu5,0.6635,0.1443,0.02%
cosmos1sent6yyh3eg42g85wry0dc2egnsu9mvwzchfya,chronic1sent6yyh3eg42g85wry0dc2egnsu9mvwl4sfwh,18.1397,3.9460,0.49%
cosmos1687a2w6kav8q9g7x8c6ppw93534cph4jtqvt98,chronic1wv60va670g2ad3sym72xygr4qpxpcex8lzm5n2,2.6402,0.5743,0.07%
cosmos13hwghucpn6u0y5dml00r4e0fuwmq0zds28l779,chronic13hwghucpn6u0y5dml00r4e0fuwmq0zdsh2c750,1.0328,0.2247,0.03%
cosmos1zvtaz8l9xysxr6cpcuswvqclzyjarfq9v2ftex,chronic1zvtaz8l9xysxr6cpcuswvqclzyjarfq938wtnv,3.8920,0.8466,0.10%
cosmos1zvtaz8l9xysxr6cpcuswvqclzyjarfq9v2ftex,chronic1zvtaz8l9xysxr6cpcuswvqclzyjarfq938wtnv,5.7456,1.2499,0.15%
cosmos1zvtaz8l9xysxr6cpcuswvqclzyjarfq9v2ftex,chronic1zvtaz8l9xysxr6cpcuswvqclzyjarfq938wtnv,4.4392,0.9657,0.12%
cosmos127ta9mldqzt5a2vl03exa8aekrr78zwalzcylx,chronic1ssuf8nqp0ktc45n2kwwf3xxdkyxqnhjqjmfpks,7.7702,1.6903,0.21%
cosmos1le2z08a69elc627v97cda4p3lzeh4wzgg0h8h7,chronic1mzndf9gu2kxygvr22mdnjy5fw2m8mwj82v7de6,0.5814,0.1265,0.02%
cosmos13rwasdcjdgywac7xjkau7du05jsyuefef8a6cw,chronic13rwasdcjdgywac7xjkau7du05jsyuefe5266jy,1.0055,0.2187,0.03%
cosmos13rwasdcjdgywac7xjkau7du05jsyuefef8a6cw,chronic13rwasdcjdgywac7xjkau7du05jsyuefe5266jy,0.6703,0.1458,0.02%
cosmos13rwasdcjdgywac7xjkau7du05jsyuefef8a6cw,chronic13rwasdcjdgywac7xjkau7du05jsyuefe5266jy,0.8208,0.1786,0.02%
cosmos13rwasdcjdgywac7xjkau7du05jsyuefef8a6cw,chronic13rwasdcjdgywac7xjkau7du05jsyuefe5266jy,0.7250,0.1577,0.02%
cosmos13rwasdcjdgywac7xjkau7du05jsyuefef8a6cw,chronic13rwasdcjdgywac7xjkau7du05jsyuefe5266jy,0.9097,0.1979,0.02%
osmo146x8rd22hvy8qjtnu4zqp9kz4z9h9vk68rjq66,chronic146x8rd22hvy8qjtnu4zqp9kz4z9h9vk6j4xsxz,22.2437,4.8388,0.60%
cosmos1uuq68g6vehyga3u2xytzva8ezdcw6eqf85ksdg,chronic1uuq68g6vehyga3u2xytzva8ezdcw6eqf6e3s8z,4.7675,1.0371,0.13%
cosmos1p6906xu66zet86hne5z3m6lrekc29gw8w09z103,chronic1er9ljmgl2e7agfn6mh5w5lktap3mxjheqa3vp7,6.1902,1.3466,0.17%
cosmos1p6906xu66zet86hne5z3m6lrekc29gw8w09z99,chronic1er9ljmgl2e7agfn6mh5w5lktap3mxjheqa3vp7,2.9754,0.6473,0.08%
cosmos1p6906xu66zet86hne5z3m6lrekc29gw8w09z101,chronic1er9ljmgl2e7agfn6mh5w5lktap3mxjheqa3vp7,15.0343,3.2705,0.40%
cosmos1p6906xu66zet86hne5z3m6lrekc29gw8w09z100,chronic1er9ljmgl2e7agfn6mh5w5lktap3mxjheqa3vp7,11.8948,2.5875,0.32%
cosmos10pamd566w6n6s9g70pp4f8s786m4gsc4csm0xn,chronic147zm9s6zzcxw59xzc7jpympxn9d3rvtvrc4xmm,1.1833,0.2574,0.03%
cosmos1nkqkkwl4fukacewfzshm0l0zmxj230z4gk6jmn,chronic1nkqkkwl4fukacewfzshm0l0zmxj230z44maj3e,10.0274,2.1813,0.27%
cosmos1nkqkkwl4fukacewfzshm0l0zmxj230z4gk6jmn,chronic1nkqkkwl4fukacewfzshm0l0zmxj230z44maj3e,15.2532,3.3181,0.41%
cosmos1v2chskwelx57khpddwgvjedal7rykvsua0xg3t,chronic1v2chskwelx57khpddwgvjedal7rykvsuqzpgmp,60.2125,13.0983,1.61%
cosmos1v2chskwelx57khpddwgvjedal7rykvsua0xg3t,chronic1v2chskwelx57khpddwgvjedal7rykvsuqzpgmp,60.0005,13.0522,1.61%
cosmos1d430sez5me2u2xecty0jewqhn8mvhj3yfq8k7e,chronic1d430sez5me2u2xecty0jewqhn8mvhj3y5dqk5n,30.0002,6.5261,0.80%
cosmos1nd57eccj2gnxkamqzyaru6p8s8gmv5wavj40xr,chronic1ynq2ew6ftf7ztvrx8ga3lrmfkmluwymzs2rp5j,4.8017,1.0445,0.13%
cosmos1jzyjp3lljmtakjkkhyj8ag3l0gkgk8jfkmvap6,chronic190trxzngqkvjyf5k768qcqqqpqlmcysktr8v76,0.5198,0.1131,0.01%
cosmos1kdhdl7wes4ykhk0dvl2q3rnazddwldrwanrzx8,chronic18h2u7wy7z449pj3vlw3ln29ayplr6yuyk7ak62,58.3110,12.6847,1.56%
cosmos1v3mtflww8ajshxgv9r65py9q2d5zepdjjd7c05,chronic19xyns090qvafqd0847krv89wr8zmv6q83a48wv,1.1765,0.2559,0.03%
cosmos1mw2qyhnnlx8xgwh7kfveyprnua8kwtcd4kygrn,chronic105uhqrfwxusscvtqndtflt49yevdt229p07ahl,1.1970,0.2604,0.03%
cosmos1v2chskwelx57khpddwgvjedal7rykvsua0xg3t,chronic1v2chskwelx57khpddwgvjedal7rykvsuqzpgmp,2.1478,0.4672,0.06%
cosmos15wvgq0gg9vz77ymz6lzr38707td39mgsfn4pmj,chronic15wvgq0gg9vz77ymz6lzr38707td39mgs57jp3c,135.5072,29.4775,3.63%
cosmos1sent6yyh3eg42g85wry0dc2egnsu9mvwzchfya,chronic1sent6yyh3eg42g85wry0dc2egnsu9mvwl4sfwh,2.0110,0.4375,0.05%
cosmos17p5g70yyy4hq6lpxh7nu46tap08wnzv7snc9fw,chronic1ltxc45vfyvvxr8j05z9he3u2jvrv4359mfuk3w,9.4460,2.0548,0.25%
cosmos1c3q9lmjn3jtn3m9vaxzdu457ere68awy955u3s,chronic127jxnqsxxs0ljxnma3wk0unr876233pnaa6z8a,42.7500,9.2996,1.15%
cosmos1anr6gq4uhkdarn8zl7495a4x2zk8u2wctj8p87,chronic16hzkhdypfayv40vhjj58z8v4mlyn5cawcrp6q4,0.5335,0.1161,0.01%
cosmos1c3q9lmjn3jtn3m9vaxzdu457ere68awy955u3s,chronic127jxnqsxxs0ljxnma3wk0unr876233pnaa6z8a,56.5942,12.3112,1.52%
cosmos19qtsnga9hdmvxex0gan3xfmf3xeqpu928p0fzn,chronic1fczr673jqzaw3ha0t00wryeqeg7jzd6zt6qs99,2.7497,0.5982,0.07%
cosmos1xg6wkxqjw9dknkueeva7tn5q9ekcf9762ylp7m,chronic184zvsass4hf6q6qsv8vx3hzyehtpsd8dp4e6au,0.2257,0.0491,0.01%
cosmos13sf7yr28vmks3wklpw73q2dec5zwy4nywdlyha,chronic13sf7yr28vmks3wklpw73q2dec5zwy4nynqcyah,1.7784,0.3869,0.05%
cosmos1tueyzyynhyaxdcqzp699hqk0qzzvurap0xp3rm,chronic1zqnq63xmsskhh2aqfh7jf3ge0c7fxuy0d830qw,1.2586,0.2738,0.03%
cosmos1r0yzl6tznn6g7nawwvxvck9h8t2mq4xczjhrln,chronic1yyjqnxmmmzsuga6ehe30tf0m672yld6k2an9gd,0.5335,0.1161,0.01%
cosmos10emhayxz9dmpa2cmcy7q4vcgrtz9rc0ql8hvzl,chronic10emhayxz9dmpa2cmcy7q4vcgrtz9rc0qz2svg4,13.9126,3.0265,0.37%
cosmos1q6gewck6e0vq8xrz2jz4v9wk5yc8n92qfgesur,chronic1q6gewck6e0vq8xrz2jz4v9wk5yc8n92q597skf,0.7387,0.1607,0.02%
cosmos1qrdlxjn8a9xmcyrn26vgr3y94uhhyr2nl23rsw,chronic1qrdlxjn8a9xmcyrn26vgr3y94uhhyr2nz8kr6y,12.6061,2.7423,0.34%
cosmos1qrdlxjn8a9xmcyrn26vgr3y94uhhyr2nl23rsw,chronic1qrdlxjn8a9xmcyrn26vgr3y94uhhyr2nz8kr6y,4.5418,0.9880,0.12%
cosmos1f7ks5uu3jg7hw362hhsx6dsnrgtyh26cuk680r,chronic1t0rmxxce5xkqjy8x55phg07henw76ddl9xr5dp,15.2327,3.3136,0.41%
cosmos1kydjldlqgdhn29zhu6dv93t9fd880zcv47kdmp,chronic1w9d7tqhh6hs3l5a2c6fehs096hxzkvxasxfedd,7.1546,1.5564,0.19%
cosmos14vrvqa7xgczsj7xex4g23q5wj9yun0twt8t406,chronic14vrvqa7xgczsj7xex4g23q5wj9yun0twk2v49s,6.1081,1.3287,0.16%
cosmos1vx6ggt0h79wwmwjypj8phxnwza8amx3r2d35jn,chronic1vx6ggt0h79wwmwjypj8phxnwza8amx3rhqk5ce,5.4036,1.1755,0.14%
cosmos1smurszcxx8akwxg2cf0fz58pu850nte6y85wjd,chronic1smurszcxx8akwxg2cf0fz58pu850nte6e2nwc8,80.8625,17.5904,2.17%
cosmos1rmv3vx7vcu3magl0yw2exgerq5lv0k7lk5wp35,chronic1436s7k4pmfpxxvj79xqxnukxqkp3e7jhmuashm,2.6744,0.5818,0.07%
cosmos1k0zpv28l7z4z37fpcm9uvryqlx7snwtwqd8jeu,chronic1rs4qkd8sq3uy6c95xkytqmxc9esudzthmf55gp,69.2687,15.0683,1.86%
cosmos1hfqlpl2ukf93g5sm7h2q5pyejav6tztnpf4dh4,chronic1hfqlpl2ukf93g5sm7h2q5pyejav6tztnuyjdal,19.6103,4.2659,0.53%
cosmos1hfqlpl2ukf93g5sm7h2q5pyejav6tztnpf4dh4,chronic1hfqlpl2ukf93g5sm7h2q5pyejav6tztnuyjdal,35.3833,7.6971,0.95%
cosmos1hfqlpl2ukf93g5sm7h2q5pyejav6tztnpf4dh4,chronic1hfqlpl2ukf93g5sm7h2q5pyejav6tztnuyjdal,25.2191,5.4860,0.68%
cosmos1wa8ej69q3qupknkya0jhkrcnwm69z3rcl7tqkm,chronic1h2njl2fy7rtgnww995jnfn30w0nkm2sj5z2zqp,6.0397,1.3138,0.16%
cosmos1dc3usgqvtkaar3j8t0g44zfedn6achcrzg4dyg,chronic1dc3usgqvtkaar3j8t0g44zfedn6achcrl9jdwz,26.3135,5.7241,0.71%
cosmos1dc3usgqvtkaar3j8t0g44zfedn6achcrzg4dyg,chronic1dc3usgqvtkaar3j8t0g44zfedn6achcrl9jdwz,78.8173,17.1455,2.11%
cosmos1dc3usgqvtkaar3j8t0g44zfedn6achcrzg4dyg,chronic1dc3usgqvtkaar3j8t0g44zfedn6achcrl9jdwz,55.8007,12.1386,1.50%
cosmos13mlgdynwangw8tdx55eu6ah6w8ml9d7e4k9jy5,chronic1ql2yp5j945r2uldna2kczpd4arqnxycruy33gr,26.2451,5.7092,0.70%
cosmos10ll8fgc8fl87e67ymt7z2dqc297k0y6xqekpqn,chronic10ll8fgc8fl87e67ymt7z2dqc297k0y6xa53p2e,37.5653,8.1718,1.01%
cosmos1uhm5zsv8zymdry20wfcmnacgftv538ukv2m9v0,chronic1uhm5zsv8zymdry20wfcmnacgftv538uk38u9x9,330.9671,71.9968,8.87%
cosmos1a3ezd0rzucs652xacnfc5k8wuls6jn5ynpv58e,chronic1a3ezd0rzucs652xacnfc5k8wuls6jn5ywvt5dn,2.0383,0.4434,0.05%
cosmos1cca5p6hvc434eurdr38h8w2al5epvjhv66u8va,chronic1fgl0xcwxg6qcxrgwhqa4293peq46v7sv3zx0ms,6.5048,1.4150,0.17%
cosmos1cca5p6hvc434eurdr38h8w2al5epvjhv66u8va,chronic1fgl0xcwxg6qcxrgwhqa4293peq46v7sv3zx0ms,11.3886,2.4774,0.31%
cosmos1r63j0f04v3lxm8kzx2jh2j6j28dtdrxkkdazkl,chronic143prx42sahch8ay0vr394nuwy3uspkp0z44reg,173.9822,37.8472,4.66%
cosmos1h5tpjq98983ekdhf74vkyejsu2mezyjc89tca3,chronic1jem4rtcguk98nueysd6xy4satcszmafwu7g5yu,5.5130,1.1993,0.15%
,chronic1xrest8lraznmwpe84wd9e2eqkrhgf7efg5w4ak,477.6509,103.9057,12.80%
,chronic1xrest8lraznmwpe84wd9e2eqkrhgf7efg5w4ak,193.0590,41.9970,5.17%
Totals:,,,,
Atom:,3731.725,,,
Osmo:,811,,,
